,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed
0,2110,105,3793428,IS0023355M,105A-93VU,YP04,1,2021-07-07,2021-07-08,None,,,TCLO ARTM CCRP CAPC RIMP,A310510733,,2.0,2.0,2,2.0,1,2021-07-08,,,True
1,2110,105,3793427,IS0023355M,105A-93VU,YP04,1,2021-07-08,2021-07-09,None,,,TCLO ARTM CCRP CAPC RIMP,A310510732,,2.0,2.0,2,2.0,1,2021-07-09,,,True
2,2110,105,3793426,IS0023355M,105A-93VU,YP04,1,2021-07-09,2021-07-12,None,,,TCLO ARTM CCRP CAPC RIMP,A310510697,,2.0,2.0,2,2.0,1,2021-07-12,,,True
3,2110,105,3793425,IS0023355M,105A-93VU,YP04,1,2021-07-14,2021-07-15,None,,,TCLO ARTM CCRP CAPC RIMP,A310510694,,2.0,2.0,2,2.0,1,2021-07-15,,,True
4,2110,105,3793430,IS0023355M,105A-93VU,YP04,1,2021-07-15,2021-07-16,None,,,TCLO ARTM CCRP CAPC RIMP,A310510747,,2.0,2.0,2,2.0,1,2021-07-16,,,True
5,2110,105,3793432,IS0023355M,105A-93VU,YP04,1,2021-07-16,2021-08-02,None,,,TCLO ARTM CCRP CAPC RIMP,A310510870,,2.0,2.0,2,2.0,1,2021-08-02,,,True
6,2110,105,3793429,IS0023355M,105A-93VU,YP04,1,2021-08-03,2021-08-04,None,,,TCLO ARTM CCRP CAPC RIMP,A310510740,,2.0,2.0,2,2.0,1,2021-08-04,,,True
7,2110,105,3793431,IS0023355M,105A-93VU,YP04,1,2021-08-04,2021-08-05,None,,,TCLO ARTM CCRP CAPC RIMP,A310510752,,2.0,2.0,2,2.0,1,2021-08-05,,,True
8,2110,105,3803437,IS0023355M,105A-93VU,YP04,1,2021-08-18,2021-08-20,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510634,2021-08-18,2.0,2.0,2,2.0,1,2021-08-20,,,True
9,2110,105,3803430,IS0023355M,105A-93VU,YP04,1,2021-08-03,2021-08-20,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510740,2021-08-26,2.0,2.0,2,2.0,1,2021-08-20,,,True
10,2110,105,3803429,IS0023355M,105A-93VU,YP04,1,2021-08-03,2021-08-20,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510694,2021-08-25,2.0,2.0,2,2.0,1,2021-08-20,,,True
11,2110,105,3803416,IS0023355M,105A-93VU,YP04,1,2021-08-03,2021-08-20,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510747,2021-08-26,2.0,2.0,2,2.0,1,2021-08-20,,,True
