,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id
0,1048143,2023-01-11 10:38:00.075831,2023-01-11 10:38:00.075831,Marwa,Marwa,False,,2023-01-11 10:38:00.075831,2023-01-11 10:38:00.075831,Marwa,15,105,2022-12-19,1,10.72,4422,officiel,25,4,143
1,1048144,2023-01-11 10:38:00.100744,2023-01-11 10:38:00.100744,Marwa,Marwa,False,,2023-01-11 10:38:00.100744,2023-01-11 10:38:00.100744,Marwa,15,105,2022-12-20,1,10.72,4423,officiel,25,4,143
2,1048145,2023-01-11 10:38:00.110627,2023-01-11 10:38:00.110627,Marwa,Marwa,False,,2023-01-11 10:38:00.110627,2023-01-11 10:38:00.110627,Marwa,15,105,2022-12-21,1,10.72,4424,officiel,25,4,143
3,1048146,2023-01-11 10:38:00.120901,2023-01-11 10:38:00.120901,Marwa,Marwa,False,,2023-01-11 10:38:00.120901,2023-01-11 10:38:00.120901,Marwa,15,105,2022-12-22,1,10.72,4425,officiel,25,4,143
4,1048147,2023-01-11 10:38:00.130678,2023-01-11 10:38:00.130678,Marwa,Marwa,False,,2023-01-11 10:38:00.130678,2023-01-11 10:38:00.130678,Marwa,15,105,2022-12-23,1,10.72,4426,officiel,25,4,143
5,1048148,2023-01-11 10:38:00.140976,2023-01-11 10:38:00.140976,Marwa,Marwa,False,,2023-01-11 10:38:00.140976,2023-01-11 10:38:00.140976,Marwa,15,105,2023-01-02,1,10.72,4427,officiel,25,4,143
6,1048149,2023-01-11 10:38:00.150588,2023-01-11 10:38:00.150588,Marwa,Marwa,False,,2023-01-11 10:38:00.150588,2023-01-11 10:38:00.150588,Marwa,15,105,2023-01-03,1,10.72,4428,officiel,25,4,143
7,1048150,2023-01-11 10:38:00.160843,2023-01-11 10:38:00.160843,Marwa,Marwa,False,,2023-01-11 10:38:00.160843,2023-01-11 10:38:00.160843,Marwa,15,105,2023-01-04,1,10.72,4429,officiel,25,4,143
8,1048151,2023-01-11 10:38:00.170857,2023-01-11 10:38:00.170857,Marwa,Marwa,False,,2023-01-11 10:38:00.170857,2023-01-11 10:38:00.170857,Marwa,15,105,2023-01-05,1,10.72,4430,officiel,25,4,143
9,1048152,2023-01-11 10:38:00.180767,2023-01-11 10:38:00.180767,Marwa,Marwa,False,,2023-01-11 10:38:00.180767,2023-01-11 10:38:00.180767,Marwa,15,105,2023-01-06,1,10.72,4431,officiel,25,4,143
10,1048153,2023-01-11 10:38:00.190683,2023-01-11 10:38:00.190683,Marwa,Marwa,False,,2023-01-11 10:38:00.190683,2023-01-11 10:38:00.190683,Marwa,15,105,2023-01-09,1,10.72,4432,officiel,25,4,143
11,1048154,2023-01-11 10:38:00.200704,2023-01-11 10:38:00.200704,Marwa,Marwa,False,,2023-01-11 10:38:00.200704,2023-01-11 10:38:00.200704,Marwa,15,105,2023-01-10,1,10.72,4433,officiel,25,4,143
12,1048155,2023-01-11 10:38:00.210667,2023-01-11 10:38:00.210667,Marwa,Marwa,False,,2023-01-11 10:38:00.210667,2023-01-11 10:38:00.210667,Marwa,15,105,2023-01-11,1,10.72,4434,officiel,25,4,143
13,1048156,2023-01-11 10:38:00.220411,2023-01-11 10:38:00.220411,Marwa,Marwa,False,,2023-01-11 10:38:00.220411,2023-01-11 10:38:00.220411,Marwa,15,105,2023-01-12,1,10.72,4435,officiel,25,4,143
14,1048157,2023-01-11 10:38:00.231067,2023-01-11 10:38:00.231067,Marwa,Marwa,False,,2023-01-11 10:38:00.231067,2023-01-11 10:38:00.231067,Marwa,15,105,2023-01-13,1,10.72,4436,officiel,25,4,143
15,1048158,2023-01-11 10:38:00.240669,2023-01-11 10:38:00.240669,Marwa,Marwa,False,,2023-01-11 10:38:00.240669,2023-01-11 10:38:00.240669,Marwa,15,105,2023-01-16,1,10.72,4437,officiel,25,4,143
16,1048159,2023-01-11 10:38:00.250784,2023-01-11 10:38:00.250784,Marwa,Marwa,False,,2023-01-11 10:38:00.250784,2023-01-11 10:38:00.250784,Marwa,15,105,2023-01-17,1,10.72,4438,officiel,25,4,143
17,1048160,2023-01-11 10:38:00.260663,2023-01-11 10:38:00.260663,Marwa,Marwa,False,,2023-01-11 10:38:00.260663,2023-01-11 10:38:00.260663,Marwa,15,105,2023-01-18,1,10.72,4439,officiel,25,4,143
18,1048161,2023-01-11 10:38:00.270716,2023-01-11 10:38:00.270716,Marwa,Marwa,False,,2023-01-11 10:38:00.270716,2023-01-11 10:38:00.270716,Marwa,15,105,2023-01-19,1,10.72,4440,officiel,25,4,143
19,1048162,2023-01-11 10:38:00.280920,2023-01-11 10:38:00.280920,Marwa,Marwa,False,,2023-01-11 10:38:00.280920,2023-01-11 10:38:00.280920,Marwa,15,105,2023-01-20,1,10.72,4441,officiel,25,4,143
