,work_day_year,work_day_week_year,smooth_family,cycle_mean_week_count
0,2023,2023-W1,1,10.72
11,2023,2023-W2,1,10.72
22,2023,2023-W3,1,10.72
30,2023,2023-W4,1,10.72
41,2023,2023-W5,1,10.72
45,2023,2023-W6,1,10.72
46,2023,2023-W7,1,10.72
47,2023,2023-W8,1,10.72
48,2023,2023-W9,1,10.72
1,2023,2023-W10,1,10.72
2,2023,2023-W11,1,10.72
3,2023,2023-W12,1,10.72
4,2023,2023-W13,1,10.72
5,2023,2023-W14,1,10.72
6,2023,2023-W15,1,10.72
7,2023,2023-W16,1,10.72
8,2023,2023-W17,1,10.72
9,2023,2023-W18,1,10.72
10,2023,2023-W19,1,10.72
12,2023,2023-W20,1,10.72
13,2023,2023-W21,1,10.72
14,2023,2023-W22,1,10.72
15,2023,2023-W23,1,10.72
16,2023,2023-W24,1,10.72
17,2023,2023-W25,1,10.72
18,2023,2023-W26,1,10.72
19,2023,2023-W27,1,10.72
20,2023,2023-W28,1,10.72
21,2023,2023-W29,1,10.72
23,2023,2023-W33,1,10.72
24,2023,2023-W34,1,10.72
25,2023,2023-W35,1,10.72
26,2023,2023-W36,1,10.72
27,2023,2023-W37,1,10.72
28,2023,2023-W38,1,10.72
29,2023,2023-W39,1,10.72
31,2023,2023-W40,1,10.72
32,2023,2023-W41,1,10.72
33,2023,2023-W42,1,10.72
34,2023,2023-W43,1,10.72
35,2023,2023-W44,1,10.72
36,2023,2023-W45,1,10.72
37,2023,2023-W46,1,10.72
38,2023,2023-W47,1,10.72
39,2023,2023-W48,1,10.72
40,2023,2023-W49,1,10.72
42,2023,2023-W50,1,10.72
43,2023,2023-W51,1,10.72
44,2023,2023-W52,1,10.72
