,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id
0,5989,2022-09-27 21:52:04.815710,2022-12-12 15:30:00.631980,Marwa,Marwa,False,,2022-09-27 21:52:04.815710,2022-12-12 15:30:00.631980,Marwa,9,105,2022-08-08,1,11.0,3459,officiel,16,,
1,5990,2022-09-27 21:52:04.839711,2022-12-12 15:30:00.651983,Marwa,Marwa,False,,2022-09-27 21:52:04.839711,2022-12-12 15:30:00.651983,Marwa,9,105,2022-08-09,1,11.0,3460,officiel,16,,
2,5991,2022-09-27 21:52:04.863712,2022-12-12 15:30:00.661821,Marwa,Marwa,False,,2022-09-27 21:52:04.863712,2022-12-12 15:30:00.661821,Marwa,9,105,2022-08-10,1,11.0,3461,officiel,16,,
3,5992,2022-09-27 21:52:04.879711,2022-12-12 15:30:00.671922,Marwa,Marwa,False,,2022-09-27 21:52:04.879711,2022-12-12 15:30:00.671922,Marwa,9,105,2022-08-11,1,11.0,3462,officiel,16,,
4,5993,2022-09-27 21:52:04.903725,2022-12-12 15:30:00.682142,Marwa,Marwa,False,,2022-09-27 21:52:04.903725,2022-12-12 15:30:00.682142,Marwa,9,105,2022-08-12,1,11.0,3463,officiel,16,,
5,5994,2022-09-27 21:56:46.596590,2022-12-12 15:30:00.701961,Marwa,Marwa,False,,2022-09-27 21:56:46.596590,2022-12-12 15:30:00.701961,Marwa,9,105,2022-08-15,1,12.0,3464,officiel,16,,
6,5995,2022-09-27 21:56:46.620660,2022-12-12 15:30:00.712167,Marwa,Marwa,False,,2022-09-27 21:56:46.620660,2022-12-12 15:30:00.712167,Marwa,9,105,2022-08-16,1,12.0,3465,officiel,16,,
7,5996,2022-09-27 21:56:46.636591,2022-12-12 15:30:00.722074,Marwa,Marwa,False,,2022-09-27 21:56:46.636591,2022-12-12 15:30:00.722074,Marwa,9,105,2022-08-17,1,12.0,3466,officiel,16,,
8,5997,2022-09-27 21:56:46.660659,2022-12-12 15:30:00.722232,Marwa,Marwa,False,,2022-09-27 21:56:46.660659,2022-12-12 15:30:00.722232,Marwa,9,105,2022-08-18,1,12.0,3467,officiel,16,,
9,5998,2022-09-27 21:56:46.676666,2022-12-12 15:30:00.732015,Marwa,Marwa,False,,2022-09-27 21:56:46.676666,2022-12-12 15:30:00.732015,Marwa,9,105,2022-08-19,1,12.0,3468,officiel,16,,
10,6115,2022-09-27 23:07:24.237574,2022-12-22 11:31:56.891045,Marwa,Marwa,False,,2022-09-27 23:07:24.237574,2022-12-22 11:31:56.891045,Marwa,9,105,2022-11-08,1,2.0,3587,officiel,16,,
11,6116,2022-09-27 23:07:24.253578,2022-12-22 11:31:56.894321,Marwa,Marwa,False,,2022-09-27 23:07:24.253578,2022-12-22 11:31:56.894321,Marwa,9,105,2022-11-09,1,2.0,3588,officiel,16,,
12,6117,2022-09-27 23:07:24.277643,2022-12-22 11:31:56.896208,Marwa,Marwa,False,,2022-09-27 23:07:24.277643,2022-12-22 11:31:56.896208,Marwa,9,105,2022-11-10,1,2.0,3589,officiel,16,,
13,6118,2022-09-27 23:07:24.293575,2022-12-22 11:31:56.899504,Marwa,Marwa,False,,2022-09-27 23:07:24.293575,2022-12-22 11:31:56.899504,Marwa,9,105,2022-11-11,1,2.0,3590,officiel,16,,
14,6119,2022-09-27 23:08:11.290312,2022-12-05 09:25:35.034126,Marwa,Marwa,False,,2022-09-27 23:08:11.290312,2022-12-05 09:25:35.034126,Marwa,9,105,2022-11-14,1,11.2,3591,officiel,16,,
