,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,smoothing_end_date,version,shared
0,2110,105,3793428,IS0023355M,105A-93VU,YP04,1,07/07/2021,08/07/2021,None,,nan,TCLO ARTM CCRP CAPC RIMP,A310510733,,3.0,3.0,test,3.0,1,2021-07-08,,,True,,3,True
1,2110,105,3793427,IS0023355M,105A-93VU,YP04,1,08/07/2021,09/07/2021,None,,nan,TCLO ARTM CCRP CAPC RIMP,A310510732,,3.0,3.0,test,3.0,1,2021-07-09,,,True,,3,True
2,2110,105,3793426,IS0023355M,105A-93VU,YP04,1,09/07/2021,12/07/2021,None,,nan,TCLO ARTM CCRP CAPC RIMP,A310510697,,3.0,3.0,test,3.0,1,2021-07-12,,,True,,3,True
3,2110,105,3793425,IS0023355M,105A-93VU,YP04,1,14/07/2021,15/07/2021,None,,nan,TCLO ARTM CCRP CAPC RIMP,A310510694,,3.0,3.0,test,3.0,1,2021-07-15,,,True,,3,True
4,2110,105,3793430,IS0023355M,105A-93VU,YP04,1,15/07/2021,16/07/2021,None,,nan,TCLO ARTM CCRP CAPC RIMP,A310510747,,3.0,3.0,test,3.0,1,2021-07-16,,,True,,3,True
5,2110,105,3793432,IS0023355M,105A-93VU,YP04,1,16/07/2021,02/08/2021,None,,nan,TCLO ARTM CCRP CAPC RIMP,A310510870,,3.0,3.0,test,3.0,1,2021-08-02,,,True,,3,True
6,2110,105,3793429,IS0023355M,105A-93VU,YP04,1,03/08/2021,04/08/2021,None,,nan,TCLO ARTM CCRP CAPC RIMP,A310510740,,3.0,3.0,test,3.0,1,2021-08-04,,,True,,3,True
7,2110,105,3793431,IS0023355M,105A-93VU,YP04,1,04/08/2021,05/08/2021,None,,nan,TCLO ARTM CCRP CAPC RIMP,A310510752,,3.0,3.0,test,3.0,1,2021-08-05,,,True,,3,True
8,2110,105,3803437,IS0023355M,105A-93VU,YP04,1,18/08/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510634,18/08/2021,3.0,3.0,test,3.0,1,2021-08-20,,,True,,3,True
9,2110,105,3803430,IS0023355M,105A-93VU,YP04,1,03/08/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510740,26/08/2021,3.0,3.0,test,3.0,1,2021-08-20,,,True,,3,True
10,2110,105,3803429,IS0023355M,105A-93VU,YP04,1,03/08/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510694,25/08/2021,3.0,3.0,test,3.0,1,2021-08-20,,,True,,3,True
11,2110,105,3803416,IS0023355M,105A-93VU,YP04,1,03/08/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510747,26/08/2021,3.0,3.0,test,3.0,1,2021-08-20,,,True,,3,True
12,2110,105,3801923,IS0023355M,105A-93VU,YP04,1,18/08/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510732,23/08/2021,3.0,3.0,test,3.0,1,2021-08-20,,,True,,3,True
13,2110,105,3803414,IS0023355M,105A-93VU,YP04,1,03/08/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510697,26/08/2021,3.0,3.0,test,3.0,1,2021-08-20,,,True,,3,True
14,2110,105,3801894,IS0023355M,105A-93VU,YP04,1,03/08/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510746,27/08/2021,3.0,3.0,test,3.0,1,2021-08-20,,,True,,3,True
15,2110,105,3801892,IS0023355M,105A-93VU,YP04,1,03/08/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510736,27/08/2021,3.0,3.0,test,3.0,1,2021-08-20,,,True,,3,True
16,2110,105,3803415,IS0023355M,105A-93VU,YP04,1,03/08/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510733,25/08/2021,3.0,3.0,test,3.0,1,2021-08-20,,,True,,3,True
17,2110,105,3803431,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510870,31/08/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
18,2110,105,3806335,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510752,03/09/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
19,2110,105,3806307,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510751,08/09/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
20,2110,105,3806305,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510910,08/09/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
21,2110,105,3803345,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510750,08/09/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
22,2110,105,3806306,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510943,08/09/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
23,2110,105,3801893,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510739,31/08/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
24,2110,105,3801891,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510703,31/08/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
25,2110,105,3801877,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510778,03/09/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
26,2110,105,3801895,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510784,31/08/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
27,2110,105,3789682,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510467,03/09/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
28,2110,105,3789676,IS0023355M,105A-93VU,YP04,1,19/08/2021,07/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510796,03/09/2021,3.0,3.0,test,3.0,1,2021-09-07,,,True,,3,True
29,2110,105,3808653,IS0023355M,105A-93VU,YP04,1,25/08/2021,10/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510657,16/09/2021,3.0,3.0,test,3.0,1,2021-09-10,,,True,,3,True
30,2110,105,3808655,IS0023355M,105A-93VU,YP04,1,25/08/2021,10/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510760,16/09/2021,3.0,3.0,test,3.0,1,2021-09-10,,,True,,3,True
31,2110,105,3806324,IS0023355M,105A-93VU,YP04,1,24/08/2021,14/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510766,15/09/2021,3.0,3.0,test,3.0,1,2021-09-14,,,True,,3,True
32,2110,105,3803344,IS0023355M,105A-93VU,YP04,1,25/08/2021,14/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510721,11/09/2021,3.0,3.0,test,3.0,1,2021-09-14,,,True,,3,True
33,2110,105,3803346,IS0023355M,105A-93VU,YP04,1,25/08/2021,14/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510755,11/09/2021,3.0,3.0,test,3.0,1,2021-09-14,,,True,,3,True
34,2110,105,3808657,IS0023355M,105A-93VU,YP04,1,31/08/2021,16/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310511012,16/09/2021,3.0,3.0,test,3.0,1,2021-09-16,,,True,,3,True
35,2110,105,3808656,IS0023355M,105A-93VU,YP04,1,01/09/2021,17/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510776,16/09/2021,3.0,3.0,test,3.0,1,2021-09-17,,,True,,3,True
36,2110,105,3806323,IS0023355M,105A-93VU,YP04,1,25/08/2021,20/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510762,15/09/2021,3.0,3.0,test,3.0,1,2021-09-20,,,True,,3,True
37,2110,105,3808654,IS0023355M,105A-93VU,YP04,1,01/09/2021,20/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510729,16/09/2021,3.0,3.0,test,3.0,1,2021-09-20,,,True,,3,True
38,2110,105,3812810,IS0023355M,105A-93VU,YP04,1,23/09/2021,27/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510913,23/09/2021,3.0,3.0,test,3.0,1,2021-09-27,,,True,,3,True
39,2110,105,3812811,IS0023355M,105A-93VU,YP04,1,23/09/2021,27/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510920,23/09/2021,3.0,3.0,test,3.0,1,2021-09-27,,,True,,3,True
40,2110,105,3812809,IS0023355M,105A-93VU,YP04,1,23/09/2021,27/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510874,23/09/2021,3.0,3.0,test,3.0,1,2021-09-27,,,True,,3,True
41,2110,105,3812783,IS0023355M,105A-93VU,YP04,1,23/09/2021,27/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510956,23/09/2021,3.0,3.0,test,3.0,1,2021-09-27,,,True,,3,True
42,2110,105,3812806,IS0023355M,105A-93VU,YP04,1,23/09/2021,27/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510782,23/09/2021,3.0,3.0,test,3.0,1,2021-09-27,,,True,,3,True
43,2110,105,3812805,IS0023355M,105A-93VU,YP04,1,23/09/2021,27/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510748,23/09/2021,3.0,3.0,test,3.0,1,2021-09-27,,,True,,3,True
44,2110,105,3812807,IS0023355M,105A-93VU,YP04,1,01/09/2021,27/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510789,22/09/2021,3.0,3.0,test,3.0,1,2021-09-27,,,True,,3,True
45,2110,105,3816070,IS0023355M,105A-93VU,YP04,1,16/09/2021,04/10/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP CAPC MMEf*,A310510791,04/10/2021,3.0,3.0,test,3.0,1,2021-10-04,,,True,,3,True
46,2110,105,3812808,IS0023355M,105A-93VU,YP04,1,23/09/2021,05/10/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510814,27/09/2021,3.0,3.0,test,3.0,1,2021-10-05,,,True,,3,True
