,key_start_day,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,freezed,key,smoothing_end_date
0,,2110,105,6112903,IS0023355M,105A-93VU,YP04,1,31/08/2022,31/08/2022,None,19/09/2022,15.0,LANC IMPR CONF CCRP ARCO CAPC MMEf RIMP,A310511345,,3.0,3.0,test,3.0,1,2022-09-19,2022-09-22 06:00:00,,False,Freezed,211010512022-09-22 06:00:00,2022-09-22 06:00:00
1,,2110,105,6097700,IS0023355M,105A-93VU,YP04,1,02/09/2022,06/09/2022,None,20/09/2022,15.0,LANC IMPR CONF CCRP ARCO CAPC RIMP,A310511370,,3.0,3.0,test,3.0,1,2022-09-20,,,False,not_freezed,21101051NaT,2022-09-22 16:24:00
2,,2110,105,6112904,IS0023355M,105A-93VU,YP04,1,31/08/2022,31/08/2022,None,20/09/2022,15.0,LANC IMPR CONF CCRP ARCO CAPC RIMP,A310511353,,3.0,3.0,test,3.0,1,2022-09-20,,,False,not_freezed,21101051NaT,2022-09-23 10:48:00
3,,2110,105,6112928,IS0023355M,105A-93VU,YP04,1,31/08/2022,31/08/2022,None,20/09/2022,15.0,LANC IMPR CONF CCRP ARCO CAPC RIMP,A310511357,,3.0,3.0,test,3.0,1,2022-09-20,,,False,not_freezed,21101051NaT,2022-09-23 21:12:00
4,,2110,105,6128559,IS0023355M,105A-93VU,YP04,1,12/09/2022,13/09/2022,None,21/09/2022,15.0,LANC IMPR CONF CCRP ARCO CAPC RIMP,A310511358,,3.0,3.0,test,3.0,1,2022-09-21,,,False,not_freezed,21101051NaT,2022-09-26 15:36:00
5,,2110,105,6112947,IS0023355M,105A-93VU,YP04,1,13/09/2022,14/09/2022,None,22/09/2022,15.0,LANC IMPR CONF CCRP ARCO CAPC RIMP,A310511378,,3.0,3.0,test,3.0,1,2022-09-22,,,False,not_freezed,21101051NaT,2022-09-27 10:00:00
6,,2110,105,6116096,IS0023355M,105A-93VU,YP04,1,14/09/2022,15/09/2022,None,22/09/2022,15.0,LANC IMPR CONF CCRP ARCO CAPC RIMP,A310511382,,3.0,3.0,test,3.0,1,2022-09-22,,,False,not_freezed,21101051NaT,2022-09-27 20:24:00
7,,2110,105,6128658,IS0023355M,105A-93VU,YP04,1,12/09/2022,14/09/2022,None,22/09/2022,15.0,LANC ARTM IMPR CCRP CAPC RIMP,A310511227,,3.0,3.0,test,3.0,1,2022-09-22,,,False,not_freezed,21101051NaT,2022-09-28 14:48:00
8,,2110,105,6126742,IS0023355M,105A-93VU,YP04,1,14/09/2022,16/09/2022,None,23/09/2022,15.0,LANC ARTM IMPR CCRP CAPC RIMP,A310511362,,3.0,3.0,test,3.0,1,2022-09-23,,,False,not_freezed,21101051NaT,2022-09-29 09:12:00
9,,2110,105,6112902,IS0023355M,105A-93VU,YP04,1,14/09/2022,15/09/2022,None,23/09/2022,15.0,LANC ARTM IMPR CCRP CAPC RIMP,A310511321,,3.0,3.0,test,3.0,1,2022-09-23,,,False,not_freezed,21101051NaT,2022-09-29 19:36:00
10,,2110,105,6116098,IS0023355M,105A-93VU,YP04,1,19/09/2022,20/09/2022,None,26/09/2022,15.0,LANC ARTM IMPR CCRP CAPC RIMP,A310511387,,3.0,3.0,test,3.0,1,2022-09-26,,,False,not_freezed,21101051NaT,2022-09-30 14:00:00
11,,2110,105,6128543,IS0023355M,105A-93VU,YP04,1,19/09/2022,21/09/2022,None,26/09/2022,15.0,LANC ARTM IMPR CCRP CAPC RIMP,A310511300,,3.0,3.0,test,3.0,1,2022-09-26,,,False,not_freezed,21101051NaT,2022-10-03 08:24:00
12,,2110,105,6126743,IS0023355M,105A-93VU,YP04,1,15/09/2022,19/09/2022,None,27/09/2022,15.0,LANC ARTM IMPR CCRP CAPC RIMP,A310511405,,3.0,3.0,test,3.0,1,2022-09-27,,,False,not_freezed,21101051NaT,2022-10-03 18:48:00
13,,2110,105,6128560,IS0023355M,105A-93VU,YP04,1,19/09/2022,21/09/2022,None,27/09/2022,15.0,LANC ARTM IMPR CCRP CAPC RIMP,A310511385,,3.0,3.0,test,3.0,1,2022-09-27,,,False,not_freezed,21101051NaT,2022-10-04 13:12:00
14,,2110,105,6131255,IS0023355M,105A-93VU,YP04,1,28/09/2022,29/09/2022,None,,nan,LANC ARTM IMPR CCRP CAPC RIMP,A310511337,,3.0,3.0,test,3.0,1,2022-09-29,,,False,not_freezed,21101051NaT,2022-10-05 07:36:00
15,,2110,105,6131256,IS0023355M,105A-93VU,YP04,1,27/09/2022,28/09/2022,None,29/09/2022,15.0,LANC ARTM IMPR CCRP CAPC RIMP,A310511340,,3.0,3.0,test,3.0,1,2022-09-29,,,False,not_freezed,21101051NaT,2022-10-05 18:00:00
16,,2110,105,6128547,IS0023355M,105A-93VU,YP04,1,21/09/2022,23/09/2022,None,30/09/2022,15.0,LANC ARTM IMPR CCRP CAPC RIMP,A310511372,,3.0,3.0,test,3.0,1,2022-09-30,,,False,not_freezed,21101051NaT,2022-10-06 12:24:00
