,index,key_start_day,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,freezed,key,smoothing_end_date
0,77,,2110,107,3689549,IS0028108M,107A-800VU-COA-40,YP04,1,04/02/2021,10/02/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702008,15/02/2021,20.71,4.0,prod,0.0,2,2021-02-10,,,True,not_freezed,21101072NaT,
1,0,,2110,107,3685523,IS0015667M,107A-DE-820-40,YP04,1,06/01/2021,16/02/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT MMEf RIMP,A110702008,15/02/2021,765.12,22.0,prod,1.0,1,2021-02-16,,,True,not_freezed,21101071NaT,
2,78,,2110,107,3697583,IS0028165M,107B-800VU-COA-40,YP04,1,12/02/2021,18/02/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702001,03/03/2021,20.71,4.0,prod,0.0,2,2021-02-18,,,True,not_freezed,21101072NaT,
3,1,,2110,107,3691596,IS0015730M,107B-DE-820-40,YP04,1,02/02/2021,12/03/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702001,01/03/2021,765.12,22.0,prod,0.0,1,2021-03-12,,,True,not_freezed,21101071NaT,
4,2,,2110,107,3700584,IS0015730M,107B-DE-820-40,YP04,1,04/02/2021,16/03/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210701970,10/03/2021,765.12,22.0,prod,0.0,1,2021-03-16,,,True,not_freezed,21101071NaT,
5,79,,2110,107,3701570,IS0028165M,107B-800VU-COA-40,YP04,1,15/03/2021,22/03/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210701970,10/03/2021,20.71,4.0,prod,0.0,2,2021-03-22,,,True,not_freezed,21101072NaT,
6,3,,2110,107,3697577,IS0015730M,107B-DE-820-40,YP04,1,16/02/2021,26/03/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702003,19/03/2021,765.12,22.0,prod,0.0,1,2021-03-26,,,True,not_freezed,21101071NaT,
7,80,,2110,107,3713842,IS0028165M,107B-800VU-COA-40,YP04,1,23/03/2021,30/03/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702003,29/03/2021,20.71,4.0,prod,0.0,2,2021-03-30,,,True,not_freezed,21101072NaT,
8,81,,2110,107,3713841,IS0028108M,107A-800VU-COA-40,YP04,1,07/04/2021,14/04/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702011,19/04/2021,20.71,4.0,prod,0.0,2,2021-04-14,,,True,not_freezed,21101072NaT,
9,4,,2110,107,3703052,IS0015730M,107B-DE-820-40,YP04,1,08/03/2021,15/04/2021,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702002,08/04/2021,765.12,22.0,prod,0.0,1,2021-04-15,,,True,not_freezed,21101071NaT,
10,82,,2110,107,3714427,IS0028165M,107B-800VU-COA-40,YP04,1,09/04/2021,20/04/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702002,12/04/2021,20.71,4.0,prod,0.0,2,2021-04-20,,,True,not_freezed,21101072NaT,
11,5,,2110,107,3722216,IS0015667M,107A-DE-820-40,YP04,1,19/03/2021,28/04/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A110702011,19/04/2021,765.12,22.0,prod,1.0,1,2021-04-28,,,True,not_freezed,21101071NaT,
12,6,,2110,107,3746964,IS0015730M,107B-DE-820-40,YP04,1,22/04/2021,18/05/2021,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A210701995,29/04/2021,765.12,22.0,prod,0.0,1,2021-05-18,,,True,not_freezed,21101071NaT,
13,83,,2110,107,3746962,IS0028165M,107B-800VU-COA-40,YP04,1,06/05/2021,18/05/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A210701995,29/04/2021,20.71,4.0,prod,0.0,2,2021-05-18,,,True,not_freezed,21101072NaT,
14,84,,2110,107,3737360,IS0028165M,107B-800VU-COA-40,YP04,1,12/04/2021,25/05/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702004,17/05/2021,20.71,4.0,prod,0.0,2,2021-05-25,,,True,not_freezed,21101072NaT,
15,7,,2110,107,3729660,IS0015730M,107B-DE-820-40,YP04,1,12/04/2021,25/05/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702004,17/05/2021,765.12,22.0,prod,0.0,1,2021-05-25,,,True,not_freezed,21101071NaT,
16,8,,2110,107,3737354,IS0015730M,107B-DE-820-40,YP04,1,26/04/2021,08/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702006,24/05/2021,765.12,22.0,prod,0.0,1,2021-06-08,,,True,not_freezed,21101071NaT,
17,85,,2110,107,3737361,IS0028165M,107B-800VU-COA-40,YP04,1,26/04/2021,08/06/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702006,24/05/2021,20.71,4.0,prod,0.0,2,2021-06-08,,,True,not_freezed,21101072NaT,
18,86,,2110,107,3766142,IS0028108M,107A-800VU-COA-40,YP04,1,08/06/2021,15/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702007,07/06/2021,20.71,4.0,prod,0.0,2,2021-06-15,,,True,not_freezed,21101072NaT,
19,9,,2110,107,3740787,IS0015667M,107A-DE-820-40,YP04,1,17/05/2021,24/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702007,07/06/2021,765.12,22.0,prod,1.0,1,2021-06-24,,,True,not_freezed,21101071NaT,
20,87,,2110,107,3766143,IS0028165M,107B-800VU-COA-40,YP04,1,21/06/2021,25/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702000,30/06/2021,20.71,4.0,prod,0.0,2,2021-06-25,,,True,not_freezed,21101072NaT,
