,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id
23,6117,2022-09-27 23:07:24.277643,2022-09-27 23:07:24.277643,Marwa,Marwa,False,,2022-09-27 23:07:24.277643,2022-09-27 23:07:24.277643,Marwa,9,105,2022-11-10,1,11.2,3589,officiel,16
24,6118,2022-09-27 23:07:24.293575,2022-09-27 23:07:24.293575,Marwa,Marwa,False,,2022-09-27 23:07:24.293575,2022-09-27 23:07:24.293575,Marwa,9,105,2022-11-11,1,11.2,3590,officiel,16
25,6119,2022-09-27 23:08:11.290312,2022-09-27 23:08:11.290312,Marwa,Marwa,False,,2022-09-27 23:08:11.290312,2022-09-27 23:08:11.290312,Marwa,9,105,2022-11-14,1,11.2,3591,officiel,16
26,6120,2022-09-27 23:08:11.314305,2022-09-27 23:08:11.314305,Marwa,Marwa,False,,2022-09-27 23:08:11.314305,2022-09-27 23:08:11.314305,Marwa,9,105,2022-11-15,1,11.2,3592,officiel,16
27,6121,2022-09-27 23:08:11.330393,2022-09-27 23:08:11.330393,Marwa,Marwa,False,,2022-09-27 23:08:11.330393,2022-09-27 23:08:11.330393,Marwa,9,105,2022-11-16,1,11.2,3593,officiel,16
28,6122,2022-09-27 23:08:11.346385,2022-09-27 23:08:11.346385,Marwa,Marwa,False,,2022-09-27 23:08:11.346385,2022-09-27 23:08:11.346385,Marwa,9,105,2022-11-17,1,11.2,3594,officiel,16
29,6123,2022-09-27 23:08:11.370375,2022-09-27 23:08:11.370375,Marwa,Marwa,False,,2022-09-27 23:08:11.370375,2022-09-27 23:08:11.370375,Marwa,9,105,2022-11-18,1,11.2,3595,officiel,16
35,6124,2022-09-27 23:08:54.743331,2022-09-27 23:08:54.743331,Marwa,Marwa,False,,2022-09-27 23:08:54.743331,2022-09-27 23:08:54.743331,Marwa,9,105,2022-11-21,1,11.2,3596,officiel,16
36,6125,2022-09-27 23:08:54.767331,2022-09-27 23:08:54.767331,Marwa,Marwa,False,,2022-09-27 23:08:54.767331,2022-09-27 23:08:54.767331,Marwa,9,105,2022-11-22,1,11.2,3597,officiel,16
37,6126,2022-09-27 23:08:54.791332,2022-09-27 23:08:54.791332,Marwa,Marwa,False,,2022-09-27 23:08:54.791332,2022-09-27 23:08:54.791332,Marwa,9,105,2022-11-23,1,11.2,3598,officiel,16
38,6127,2022-09-27 23:08:54.807332,2022-09-27 23:08:54.807332,Marwa,Marwa,False,,2022-09-27 23:08:54.807332,2022-09-27 23:08:54.807332,Marwa,9,105,2022-11-24,1,11.2,3599,officiel,16
39,6128,2022-09-27 23:08:54.831344,2022-09-27 23:08:54.831344,Marwa,Marwa,False,,2022-09-27 23:08:54.831344,2022-09-27 23:08:54.831344,Marwa,9,105,2022-11-25,1,11.2,3600,officiel,16
43,6129,2022-09-27 23:09:38.178864,2022-09-27 23:09:38.178864,Marwa,Marwa,False,,2022-09-27 23:09:38.178864,2022-09-27 23:09:38.178864,Marwa,9,105,2022-11-28,1,11.2,3601,officiel,16
44,6130,2022-09-27 23:09:38.202855,2022-09-27 23:09:38.202855,Marwa,Marwa,False,,2022-09-27 23:09:38.202855,2022-09-27 23:09:38.202855,Marwa,9,105,2022-11-29,1,11.2,3602,officiel,16
45,6131,2022-09-27 23:09:38.218883,2022-09-27 23:09:38.218883,Marwa,Marwa,False,,2022-09-27 23:09:38.218883,2022-09-27 23:09:38.218883,Marwa,9,105,2022-11-30,1,11.2,3603,officiel,16
53,6132,2022-09-27 23:10:08.530453,2022-09-27 23:10:08.530453,Marwa,Marwa,False,,2022-09-27 23:10:08.530453,2022-09-27 23:10:08.530453,Marwa,9,105,2022-12-01,1,11.2,3604,officiel,16
54,6133,2022-09-27 23:10:08.554453,2022-09-27 23:10:08.554453,Marwa,Marwa,False,,2022-09-27 23:10:08.554453,2022-09-27 23:10:08.554453,Marwa,9,105,2022-12-02,1,11.2,3605,officiel,16
70,6134,2022-09-27 23:10:40.037381,2022-09-27 23:10:40.037381,Marwa,Marwa,False,,2022-09-27 23:10:40.037381,2022-09-27 23:10:40.037381,Marwa,9,105,2022-12-05,1,11.2,3606,officiel,16
71,6135,2022-09-27 23:10:40.061392,2022-09-27 23:10:40.061392,Marwa,Marwa,False,,2022-09-27 23:10:40.061392,2022-09-27 23:10:40.061392,Marwa,9,105,2022-12-06,1,11.2,3607,officiel,16
72,6136,2022-09-27 23:10:40.085389,2022-09-27 23:10:40.085389,Marwa,Marwa,False,,2022-09-27 23:10:40.085389,2022-09-27 23:10:40.085389,Marwa,9,105,2022-12-07,1,11.2,3608,officiel,16
