,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id,shared,work_day_week,work_day_month,work_day_year,work_year_week,work_year_month
0,2119393,2023-01-06 14:29:01.332329,2023-01-06 14:29:01.332329,Marwa,Marwa,False,,2023-01-06 14:29:01.332329,2023-01-06 14:29:01.332329,Marwa,15,105,2022-12-19,1,10.72,4422,officiel,25,19,170,False,51,12,2022,2022-W51,2022-M12
1,2119394,2023-01-06 14:29:01.364247,2023-01-06 14:29:01.364247,Marwa,Marwa,False,,2023-01-06 14:29:01.364247,2023-01-06 14:29:01.364247,Marwa,15,105,2022-12-20,1,10.72,4423,officiel,25,19,170,False,51,12,2022,2022-W51,2022-M12
2,2119395,2023-01-06 14:29:01.396312,2023-01-06 14:29:01.396312,Marwa,Marwa,False,,2023-01-06 14:29:01.396312,2023-01-06 14:29:01.396312,Marwa,15,105,2022-12-21,1,10.72,4424,officiel,25,19,170,False,51,12,2022,2022-W51,2022-M12
3,2119396,2023-01-06 14:29:01.420252,2023-01-06 14:29:01.420252,Marwa,Marwa,False,,2023-01-06 14:29:01.420252,2023-01-06 14:29:01.420252,Marwa,15,105,2022-12-22,1,10.72,4425,officiel,25,19,170,False,51,12,2022,2022-W51,2022-M12
4,2119397,2023-01-06 14:29:01.447371,2023-01-06 14:29:01.447371,Marwa,Marwa,False,,2023-01-06 14:29:01.447371,2023-01-06 14:29:01.447486,Marwa,15,105,2022-12-23,1,10.72,4426,officiel,25,19,170,False,51,12,2022,2022-W51,2022-M12
5,2119398,2023-01-06 14:30:08.135510,2023-01-06 14:30:08.135510,Marwa,Marwa,False,,2023-01-06 14:30:08.135510,2023-01-06 14:30:08.135510,Marwa,15,105,2023-01-02,1,10.72,4427,officiel,25,19,170,False,1,1,2023,2023-W1,2023-M1
6,2119399,2023-01-06 14:30:08.159542,2023-01-06 14:30:08.159542,Marwa,Marwa,False,,2023-01-06 14:30:08.159542,2023-01-06 14:30:08.159542,Marwa,15,105,2023-01-03,1,10.72,4428,officiel,25,19,170,False,1,1,2023,2023-W1,2023-M1
7,2119400,2023-01-06 14:30:08.183559,2023-01-06 14:30:08.183559,Marwa,Marwa,False,,2023-01-06 14:30:08.183559,2023-01-06 14:30:08.183559,Marwa,15,105,2023-01-04,1,10.72,4429,officiel,25,19,170,False,1,1,2023,2023-W1,2023-M1
8,2119401,2023-01-06 14:30:08.215560,2023-01-06 14:30:08.215560,Marwa,Marwa,False,,2023-01-06 14:30:08.215560,2023-01-06 14:30:08.215560,Marwa,15,105,2023-01-05,1,10.72,4430,officiel,25,19,170,False,1,1,2023,2023-W1,2023-M1
9,2119402,2023-01-06 14:30:08.231471,2023-01-06 14:30:08.231471,Marwa,Marwa,False,,2023-01-06 14:30:08.231471,2023-01-06 14:30:08.231471,Marwa,15,105,2023-01-06,1,10.72,4431,officiel,25,19,170,False,1,1,2023,2023-W1,2023-M1
10,2119403,2023-01-06 14:31:23.921031,2023-01-06 14:31:23.921031,Marwa,Marwa,False,,2023-01-06 14:31:23.921031,2023-01-06 14:31:23.921031,Marwa,15,105,2023-01-09,1,10.72,4432,officiel,25,19,170,False,2,1,2023,2023-W2,2023-M1
11,2119404,2023-01-06 14:31:23.945030,2023-01-06 14:31:23.945030,Marwa,Marwa,False,,2023-01-06 14:31:23.945030,2023-01-06 14:31:23.945030,Marwa,15,105,2023-01-10,1,10.72,4433,officiel,25,19,170,False,2,1,2023,2023-W2,2023-M1
12,2119405,2023-01-06 14:31:23.969013,2023-01-06 14:31:23.969013,Marwa,Marwa,False,,2023-01-06 14:31:23.969013,2023-01-06 14:31:23.969013,Marwa,15,105,2023-01-11,1,10.72,4434,officiel,25,19,170,False,2,1,2023,2023-W2,2023-M1
13,2119406,2023-01-06 14:31:23.992999,2023-01-06 14:31:23.992999,Marwa,Marwa,False,,2023-01-06 14:31:23.992999,2023-01-06 14:31:23.992999,Marwa,15,105,2023-01-12,1,10.72,4435,officiel,25,19,170,False,2,1,2023,2023-W2,2023-M1
