,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,startTime,endTime,date,FTEhourByDay,ExtraHour,Absenteeism_ratio,Unproductiveness_ratio,Efficienty_ratio,owner,product_id
0,3459,2022-09-27 21:52:04.807710,2022-09-27 21:52:04.807710,Marwa,Marwa,False,,2022-09-27 21:52:04.807710,2022-09-27 21:52:04.807710,Marwa,06:00:00,22:00:00,2022-08-08,16.0,0.0,1.0,1.0,1.0,officiel,16
1,3460,2022-09-27 21:52:04.839711,2022-09-27 21:52:04.839711,Marwa,Marwa,False,,2022-09-27 21:52:04.839711,2022-09-27 21:52:04.839711,Marwa,06:00:00,22:00:00,2022-08-09,16.0,0.0,1.0,1.0,1.0,officiel,16
2,3461,2022-09-27 21:52:04.863712,2022-09-27 21:52:04.863712,Marwa,Marwa,False,,2022-09-27 21:52:04.863712,2022-09-27 21:52:04.863712,Marwa,06:00:00,22:00:00,2022-08-10,16.0,0.0,1.0,1.0,1.0,officiel,16
3,3462,2022-09-27 21:52:04.879711,2022-09-27 21:52:04.879711,Marwa,Marwa,False,,2022-09-27 21:52:04.879711,2022-09-27 21:52:04.879711,Marwa,06:00:00,22:00:00,2022-08-11,16.0,0.0,1.0,1.0,1.0,officiel,16
4,3463,2022-09-27 21:52:04.895714,2022-09-27 21:52:04.895714,Marwa,Marwa,False,,2022-09-27 21:52:04.895714,2022-09-27 21:52:04.895714,Marwa,06:00:00,22:00:00,2022-08-12,16.0,0.0,1.0,1.0,1.0,officiel,16
5,3504,2022-09-27 22:10:01.681831,2022-09-27 22:10:01.681831,Marwa,Marwa,False,,2022-09-27 22:10:01.681831,2022-09-27 22:10:01.681831,Marwa,06:00:00,22:00:00,2022-10-03,16.0,0.0,1.0,1.0,1.0,officiel,16
6,3505,2022-09-27 22:10:01.705831,2022-09-27 22:10:01.705831,Marwa,Marwa,False,,2022-09-27 22:10:01.705831,2022-09-27 22:10:01.705831,Marwa,06:00:00,22:00:00,2022-10-04,16.0,0.0,1.0,1.0,1.0,officiel,16
7,3506,2022-09-27 22:10:01.721830,2022-09-27 22:10:01.721830,Marwa,Marwa,False,,2022-09-27 22:10:01.721830,2022-09-27 22:10:01.721830,Marwa,06:00:00,22:00:00,2022-10-05,16.0,0.0,1.0,1.0,1.0,officiel,16
8,3507,2022-09-27 22:10:01.745839,2022-09-27 22:10:01.745839,Marwa,Marwa,False,,2022-09-27 22:10:01.745839,2022-09-27 22:10:01.745839,Marwa,06:00:00,22:00:00,2022-10-06,16.0,0.0,1.0,1.0,1.0,officiel,16
9,3508,2022-09-27 22:10:01.761832,2022-09-27 22:10:01.761832,Marwa,Marwa,False,,2022-09-27 22:10:01.761832,2022-09-27 22:10:01.761832,Marwa,06:00:00,22:00:00,2022-10-07,16.0,0.0,1.0,1.0,1.0,officiel,16
10,3606,2022-09-27 23:10:40.037381,2022-09-27 23:10:40.037381,Marwa,Marwa,False,,2022-09-27 23:10:40.037381,2022-09-27 23:10:40.037381,Marwa,06:00:00,22:00:00,2022-12-05,16.0,0.0,1.0,1.0,1.0,officiel,16
11,3607,2022-09-27 23:10:40.061392,2022-09-27 23:10:40.061392,Marwa,Marwa,False,,2022-09-27 23:10:40.061392,2022-09-27 23:10:40.061392,Marwa,06:00:00,22:00:00,2022-12-06,16.0,0.0,1.0,1.0,1.0,officiel,16
12,3608,2022-09-27 23:10:40.077321,2022-09-27 23:10:40.077321,Marwa,Marwa,False,,2022-09-27 23:10:40.077321,2022-09-27 23:10:40.077321,Marwa,06:00:00,22:00:00,2022-12-07,16.0,0.0,1.0,1.0,1.0,officiel,16
13,3609,2022-09-27 23:10:40.101315,2022-09-27 23:10:40.101315,Marwa,Marwa,False,,2022-09-27 23:10:40.101315,2022-09-27 23:10:40.101315,Marwa,06:00:00,22:00:00,2022-12-08,16.0,0.0,1.0,1.0,1.0,officiel,16
14,3610,2022-09-27 23:10:40.118183,2022-09-27 23:10:40.118183,Marwa,Marwa,False,,2022-09-27 23:10:40.118183,2022-09-27 23:10:40.118183,Marwa,06:00:00,22:00:00,2022-12-09,16.0,0.0,1.0,1.0,1.0,officiel,16
15,3464,2022-09-27 21:56:46.588592,2022-09-27 21:56:46.588592,Marwa,Marwa,False,,2022-09-27 21:56:46.596590,2022-09-27 21:56:46.596590,Marwa,06:00:00,22:00:00,2022-08-15,16.0,0.0,1.0,1.0,1.0,officiel,16
16,3465,2022-09-27 21:56:46.620660,2022-09-27 21:56:46.620660,Marwa,Marwa,False,,2022-09-27 21:56:46.620660,2022-09-27 21:56:46.620660,Marwa,06:00:00,22:00:00,2022-08-16,16.0,0.0,1.0,1.0,1.0,officiel,16
17,3466,2022-09-27 21:56:46.636591,2022-09-27 21:56:46.636591,Marwa,Marwa,False,,2022-09-27 21:56:46.636591,2022-09-27 21:56:46.636591,Marwa,06:00:00,22:00:00,2022-08-17,16.0,0.0,1.0,1.0,1.0,officiel,16
18,3467,2022-09-27 21:56:46.652631,2022-09-27 21:56:46.652631,Marwa,Marwa,False,,2022-09-27 21:56:46.652631,2022-09-27 21:56:46.652631,Marwa,06:00:00,22:00:00,2022-08-18,16.0,0.0,1.0,1.0,1.0,officiel,16
19,3468,2022-09-27 21:56:46.668610,2022-09-27 21:56:46.668610,Marwa,Marwa,False,,2022-09-27 21:56:46.668610,2022-09-27 21:56:46.668610,Marwa,06:00:00,22:00:00,2022-08-19,16.0,0.0,1.0,1.0,1.0,officiel,16
20,3509,2022-09-27 22:12:17.951697,2022-09-27 22:12:17.951697,Marwa,Marwa,False,,2022-09-27 22:12:17.951697,2022-09-27 22:12:17.951697,Marwa,06:00:00,22:00:00,2022-10-10,16.0,0.0,1.0,1.0,1.0,officiel,16
21,3510,2022-09-27 22:12:17.975696,2022-11-24 10:10:29.412179,Marwa,Marwa,False,,2022-09-27 22:12:17.975696,2022-11-24 10:10:29.412179,Marwa,06:00:00,22:00:00,2022-10-11,16.0,0.0,1.0,1.0,1.0,officiel,16
22,3511,2022-09-27 22:12:17.991767,2022-11-24 10:10:44.689094,Marwa,Marwa,False,,2022-09-27 22:12:17.991767,2022-11-24 10:10:44.689094,Marwa,06:00:00,22:00:00,2022-10-12,16.0,0.0,1.0,1.0,1.0,officiel,16
23,3512,2022-09-27 22:12:18.007696,2022-11-24 10:10:59.679309,Marwa,Marwa,False,,2022-09-27 22:12:18.007696,2022-11-24 10:10:59.679309,Marwa,06:00:00,22:00:00,2022-10-13,16.0,0.0,1.0,1.0,1.0,officiel,16
24,3513,2022-09-27 22:12:18.031709,2022-11-24 10:11:19.299650,Marwa,Marwa,False,,2022-09-27 22:12:18.031709,2022-11-24 10:11:19.299650,Marwa,06:00:00,22:00:00,2022-10-14,16.0,0.0,1.0,1.0,1.0,officiel,16
25,3580,2022-09-27 23:05:27.369740,2022-09-27 23:05:27.369740,Marwa,Marwa,False,,2022-09-27 23:05:27.369740,2022-09-27 23:05:27.369740,Marwa,06:00:00,22:00:00,2022-11-01,16.0,0.0,1.0,1.0,1.0,officiel,16
26,3581,2022-09-27 23:05:27.393743,2022-09-27 23:05:27.393743,Marwa,Marwa,False,,2022-09-27 23:05:27.393743,2022-09-27 23:05:27.393743,Marwa,06:00:00,22:00:00,2022-11-02,16.0,0.0,1.0,1.0,1.0,officiel,16
27,3582,2022-09-27 23:05:27.417738,2022-09-27 23:05:27.417738,Marwa,Marwa,False,,2022-09-27 23:05:27.417738,2022-09-27 23:05:27.417738,Marwa,06:00:00,22:00:00,2022-11-03,16.0,0.0,1.0,1.0,1.0,officiel,16
28,3583,2022-09-27 23:05:27.433744,2022-09-27 23:05:27.433744,Marwa,Marwa,False,,2022-09-27 23:05:27.433744,2022-09-27 23:05:27.433744,Marwa,06:00:00,22:00:00,2022-11-04,16.0,0.0,1.0,1.0,1.0,officiel,16
29,3611,2022-09-27 23:11:16.462860,2022-09-27 23:11:16.462860,Marwa,Marwa,False,,2022-09-27 23:11:16.462860,2022-09-27 23:11:16.462860,Marwa,06:00:00,22:00:00,2022-12-12,16.0,0.0,1.0,1.0,1.0,officiel,16
30,3612,2022-09-27 23:11:16.478925,2022-09-27 23:11:16.478925,Marwa,Marwa,False,,2022-09-27 23:11:16.478925,2022-09-27 23:11:16.478925,Marwa,06:00:00,22:00:00,2022-12-13,16.0,0.0,1.0,1.0,1.0,officiel,16
31,3613,2022-09-27 23:11:16.502862,2022-09-27 23:11:16.502862,Marwa,Marwa,False,,2022-09-27 23:11:16.502862,2022-09-27 23:11:16.502862,Marwa,06:00:00,22:00:00,2022-12-14,16.0,0.0,1.0,1.0,1.0,officiel,16
32,3614,2022-09-27 23:11:16.518854,2022-09-27 23:11:16.518854,Marwa,Marwa,False,,2022-09-27 23:11:16.518854,2022-09-27 23:11:16.518854,Marwa,06:00:00,22:00:00,2022-12-15,16.0,0.0,1.0,1.0,1.0,officiel,16
33,3615,2022-09-27 23:11:16.534940,2022-09-27 23:11:16.534940,Marwa,Marwa,False,,2022-09-27 23:11:16.534940,2022-09-27 23:11:16.534940,Marwa,06:00:00,22:00:00,2022-12-16,16.0,0.0,1.0,1.0,1.0,officiel,16
34,3474,2022-09-27 21:59:19.666966,2022-09-27 21:59:19.666966,Marwa,Marwa,False,,2022-09-27 21:59:19.666966,2022-09-27 21:59:19.666966,Marwa,06:00:00,22:00:00,2022-08-22,16.0,0.0,1.0,1.0,1.0,officiel,16
35,3475,2022-09-27 21:59:19.690894,2022-09-27 21:59:19.690894,Marwa,Marwa,False,,2022-09-27 21:59:19.690894,2022-09-27 21:59:19.690894,Marwa,06:00:00,22:00:00,2022-08-23,16.0,0.0,1.0,1.0,1.0,officiel,16
36,3476,2022-09-27 21:59:19.714906,2022-09-27 21:59:19.714906,Marwa,Marwa,False,,2022-09-27 21:59:19.714906,2022-09-27 21:59:19.714906,Marwa,06:00:00,22:00:00,2022-08-24,16.0,0.0,1.0,1.0,1.0,officiel,16
37,3477,2022-09-27 21:59:19.730892,2022-09-27 21:59:19.730892,Marwa,Marwa,False,,2022-09-27 21:59:19.730892,2022-09-27 21:59:19.730892,Marwa,06:00:00,22:00:00,2022-08-25,16.0,0.0,1.0,1.0,1.0,officiel,16
38,3478,2022-09-27 21:59:19.746916,2022-09-27 21:59:19.746916,Marwa,Marwa,False,,2022-09-27 21:59:19.746916,2022-09-27 21:59:19.746916,Marwa,06:00:00,22:00:00,2022-08-26,16.0,0.0,1.0,1.0,1.0,officiel,16
39,3616,2022-09-27 23:11:44.438060,2022-09-27 23:11:44.438060,Marwa,Marwa,False,,2022-09-27 23:11:44.438060,2022-09-27 23:11:44.438060,Marwa,06:00:00,22:00:00,2022-12-19,16.0,0.0,1.0,1.0,1.0,officiel,16
40,3617,2022-09-27 23:11:44.462098,2022-09-27 23:11:44.462098,Marwa,Marwa,False,,2022-09-27 23:11:44.462098,2022-09-27 23:11:44.462098,Marwa,06:00:00,22:00:00,2022-12-20,16.0,0.0,1.0,1.0,1.0,officiel,16
41,3618,2022-09-27 23:11:44.478024,2022-09-27 23:11:44.478024,Marwa,Marwa,False,,2022-09-27 23:11:44.478024,2022-09-27 23:11:44.478024,Marwa,06:00:00,22:00:00,2022-12-21,16.0,0.0,1.0,1.0,1.0,officiel,16
42,3619,2022-09-27 23:11:44.502093,2022-09-27 23:11:44.502093,Marwa,Marwa,False,,2022-09-27 23:11:44.502093,2022-09-27 23:11:44.502093,Marwa,06:00:00,22:00:00,2022-12-22,16.0,0.0,1.0,1.0,1.0,officiel,16
43,3620,2022-09-27 23:11:44.518102,2022-09-27 23:11:44.518102,Marwa,Marwa,False,,2022-09-27 23:11:44.518102,2022-09-27 23:11:44.518102,Marwa,06:00:00,22:00:00,2022-12-23,16.0,0.0,1.0,1.0,1.0,officiel,16
44,3799,2022-09-29 08:46:23.666221,2022-09-29 08:46:23.666221,Marwa,Marwa,False,,2022-09-29 08:46:23.666221,2022-09-29 08:46:23.666221,Marwa,06:00:00,22:00:00,2022-09-26,16.0,0.0,1.0,1.0,1.0,officiel,16
45,3800,2022-09-29 08:46:23.694073,2022-09-29 08:46:23.694073,Marwa,Marwa,False,,2022-09-29 08:46:23.694073,2022-09-29 08:46:23.694073,Marwa,06:00:00,22:00:00,2022-09-27,16.0,0.0,1.0,1.0,1.0,officiel,16
46,3801,2022-09-29 08:46:23.712528,2022-09-29 08:46:23.712528,Marwa,Marwa,False,,2022-09-29 08:46:23.712528,2022-09-29 08:46:23.712528,Marwa,06:00:00,22:00:00,2022-09-28,16.0,0.0,1.0,1.0,1.0,officiel,16
47,3802,2022-09-29 08:46:23.732589,2022-09-29 08:46:23.732589,Marwa,Marwa,False,,2022-09-29 08:46:23.732589,2022-09-29 08:46:23.732589,Marwa,06:00:00,22:00:00,2022-09-29,16.0,0.0,1.0,1.0,1.0,officiel,16
48,3803,2022-09-29 08:46:23.752987,2022-09-29 08:46:23.752987,Marwa,Marwa,False,,2022-09-29 08:46:23.752987,2022-09-29 08:46:23.752987,Marwa,06:00:00,22:00:00,2022-09-30,16.0,0.0,1.0,1.0,1.0,officiel,16
49,3479,2022-09-27 22:00:12.892896,2022-09-27 22:00:12.892896,Marwa,Marwa,False,,2022-09-27 22:00:12.892896,2022-09-27 22:00:12.892896,Marwa,06:00:00,22:00:00,2022-08-29,16.0,0.0,1.0,1.0,1.0,officiel,16
50,3480,2022-09-27 22:00:12.916889,2022-09-27 22:00:12.916889,Marwa,Marwa,False,,2022-09-27 22:00:12.916889,2022-09-27 22:00:12.916889,Marwa,06:00:00,22:00:00,2022-08-30,16.0,0.0,1.0,1.0,1.0,officiel,16
51,3481,2022-09-27 22:00:12.932842,2022-09-27 22:00:12.932842,Marwa,Marwa,False,,2022-09-27 22:00:12.932842,2022-09-27 22:00:12.932842,Marwa,06:00:00,22:00:00,2022-08-31,16.0,0.0,1.0,1.0,1.0,officiel,16
52,3585,2022-09-27 23:06:47.914032,2022-09-27 23:06:47.914032,Marwa,Marwa,False,,2022-09-27 23:06:47.914032,2022-09-27 23:06:47.914032,Marwa,06:00:00,22:00:00,2022-10-31,16.0,0.0,1.0,1.0,1.0,officiel,16
53,3482,2022-09-27 22:01:22.688524,2022-09-27 22:01:22.688524,Marwa,Marwa,False,,2022-09-27 22:01:22.688524,2022-09-27 22:01:22.688524,Marwa,06:00:00,22:00:00,2022-09-01,16.0,0.0,1.0,1.0,1.0,officiel,16
54,3483,2022-09-27 22:01:22.712593,2022-09-27 22:01:22.712593,Marwa,Marwa,False,,2022-09-27 22:01:22.712593,2022-09-27 22:01:22.712593,Marwa,06:00:00,22:00:00,2022-09-02,16.0,0.0,1.0,1.0,1.0,officiel,16
55,3586,2022-09-27 23:07:24.205643,2022-09-27 23:07:24.205643,Marwa,Marwa,False,,2022-09-27 23:07:24.205643,2022-09-27 23:07:24.205643,Marwa,06:00:00,22:00:00,2022-11-07,16.0,0.0,1.0,1.0,1.0,officiel,16
56,3587,2022-09-27 23:07:24.229622,2022-09-27 23:07:24.229622,Marwa,Marwa,False,,2022-09-27 23:07:24.229622,2022-09-27 23:07:24.229622,Marwa,06:00:00,22:00:00,2022-11-08,16.0,0.0,1.0,1.0,1.0,officiel,16
57,3588,2022-09-27 23:07:24.253578,2022-09-27 23:07:24.253578,Marwa,Marwa,False,,2022-09-27 23:07:24.253578,2022-09-27 23:07:24.253578,Marwa,06:00:00,22:00:00,2022-11-09,16.0,0.0,1.0,1.0,1.0,officiel,16
58,3589,2022-09-27 23:07:24.269645,2022-09-27 23:07:24.269645,Marwa,Marwa,False,,2022-09-27 23:07:24.269645,2022-09-27 23:07:24.269645,Marwa,06:00:00,22:00:00,2022-11-10,16.0,0.0,1.0,1.0,1.0,officiel,16
59,3590,2022-09-27 23:07:24.293575,2022-09-27 23:07:24.293575,Marwa,Marwa,False,,2022-09-27 23:07:24.293575,2022-09-27 23:07:24.293575,Marwa,06:00:00,22:00:00,2022-11-11,16.0,0.0,1.0,1.0,1.0,officiel,16
60,3484,2022-09-27 22:05:14.259035,2022-09-27 22:05:14.259035,Marwa,Marwa,False,,2022-09-27 22:05:14.259035,2022-09-27 22:05:14.259035,Marwa,06:00:00,22:00:00,2022-09-05,16.0,0.0,1.0,1.0,1.0,officiel,16
61,3485,2022-09-27 22:05:14.291028,2022-09-27 22:05:14.291028,Marwa,Marwa,False,,2022-09-27 22:05:14.291028,2022-09-27 22:05:14.291028,Marwa,06:00:00,22:00:00,2022-09-06,16.0,0.0,1.0,1.0,1.0,officiel,16
62,3486,2022-09-27 22:05:14.307029,2022-09-27 22:05:14.307029,Marwa,Marwa,False,,2022-09-27 22:05:14.307029,2022-09-27 22:05:14.307029,Marwa,06:00:00,22:00:00,2022-09-07,16.0,0.0,1.0,1.0,1.0,officiel,16
63,3487,2022-09-27 22:05:14.331104,2022-09-27 22:05:14.331104,Marwa,Marwa,False,,2022-09-27 22:05:14.331104,2022-09-27 22:05:14.331104,Marwa,06:00:00,22:00:00,2022-09-08,16.0,0.0,1.0,1.0,1.0,officiel,16
64,3488,2022-09-27 22:05:14.347038,2022-09-27 22:05:14.347038,Marwa,Marwa,False,,2022-09-27 22:05:14.347038,2022-09-27 22:05:14.347038,Marwa,06:00:00,22:00:00,2022-09-09,16.0,0.0,1.0,1.0,1.0,officiel,16
65,3591,2022-09-27 23:08:11.282377,2022-09-27 23:08:11.282377,Marwa,Marwa,False,,2022-09-27 23:08:11.282377,2022-09-27 23:08:11.282377,Marwa,06:00:00,22:00:00,2022-11-14,16.0,0.0,1.0,1.0,1.0,officiel,16
66,3592,2022-09-27 23:08:11.314305,2022-09-27 23:08:11.314305,Marwa,Marwa,False,,2022-09-27 23:08:11.314305,2022-09-27 23:08:11.314305,Marwa,06:00:00,22:00:00,2022-11-15,16.0,0.0,1.0,1.0,1.0,officiel,16
67,3593,2022-09-27 23:08:11.330393,2022-09-27 23:08:11.330393,Marwa,Marwa,False,,2022-09-27 23:08:11.330393,2022-09-27 23:08:11.330393,Marwa,06:00:00,22:00:00,2022-11-16,16.0,0.0,1.0,1.0,1.0,officiel,16
68,3594,2022-09-27 23:08:11.346385,2022-09-27 23:08:11.346385,Marwa,Marwa,False,,2022-09-27 23:08:11.346385,2022-09-27 23:08:11.346385,Marwa,06:00:00,22:00:00,2022-11-17,16.0,0.0,1.0,1.0,1.0,officiel,16
69,3595,2022-09-27 23:08:11.370375,2022-09-27 23:08:11.370375,Marwa,Marwa,False,,2022-09-27 23:08:11.370375,2022-09-27 23:08:11.370375,Marwa,06:00:00,22:00:00,2022-11-18,16.0,0.0,1.0,1.0,1.0,officiel,16
