,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,smoothing_end_date,closed,week_programm_demand,year_programm_demand,year_week_programm_demand,year_week_end_date
0,56316,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3689549,IS0028108M,107A-800VU-COA-40,YP04,1,2021-02-04,2021-02-10,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702008,2021-02-15,20.71,4.0,prod,0.0,2,2021-02-10,,,,True,6,2021,2021-W6,2021-W6
1,56317,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3685523,IS0015667M,107A-DE-820-40,YP04,1,2021-01-06,2021-02-16,None,,,TCLO IMPR CONF LIVR CCRP ERCT MMEf RIMP,A110702008,2021-02-15,765.12,22.0,prod,1.0,1,2021-02-16,,,,True,7,2021,2021-W7,2021-W7
2,56318,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3697583,IS0028165M,107B-800VU-COA-40,YP04,1,2021-02-12,2021-02-18,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702001,2021-03-03,20.71,4.0,prod,0.0,2,2021-02-18,,,,True,7,2021,2021-W7,2021-W7
3,56319,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3691596,IS0015730M,107B-DE-820-40,YP04,1,2021-02-02,2021-03-12,None,,,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702001,2021-03-01,765.12,22.0,prod,0.0,1,2021-03-12,,,,True,10,2021,2021-W10,2021-W10
4,56320,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3700584,IS0015730M,107B-DE-820-40,YP04,1,2021-02-04,2021-03-16,None,,,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210701970,2021-03-10,765.12,22.0,prod,0.0,1,2021-03-16,,,,True,11,2021,2021-W11,2021-W11
5,56321,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3701570,IS0028165M,107B-800VU-COA-40,YP04,1,2021-03-15,2021-03-22,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210701970,2021-03-10,20.71,4.0,prod,0.0,2,2021-03-22,,,,True,12,2021,2021-W12,2021-W12
6,56322,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3697577,IS0015730M,107B-DE-820-40,YP04,1,2021-02-16,2021-03-26,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702003,2021-03-19,765.12,22.0,prod,0.0,1,2021-03-26,,,,True,12,2021,2021-W12,2021-W12
7,56323,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3713842,IS0028165M,107B-800VU-COA-40,YP04,1,2021-03-23,2021-03-30,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702003,2021-03-29,20.71,4.0,prod,0.0,2,2021-03-30,,,,True,13,2021,2021-W13,2021-W13
8,56324,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3713841,IS0028108M,107A-800VU-COA-40,YP04,1,2021-04-07,2021-04-14,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702011,2021-04-19,20.71,4.0,prod,0.0,2,2021-04-14,,,,True,15,2021,2021-W15,2021-W15
9,56325,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3703052,IS0015730M,107B-DE-820-40,YP04,1,2021-03-08,2021-04-15,None,,,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702002,2021-04-08,765.12,22.0,prod,0.0,1,2021-04-15,,,,True,15,2021,2021-W15,2021-W15
10,56326,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3714427,IS0028165M,107B-800VU-COA-40,YP04,1,2021-04-09,2021-04-20,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702002,2021-04-12,20.71,4.0,prod,0.0,2,2021-04-20,,,,True,16,2021,2021-W16,2021-W16
11,56327,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3722216,IS0015667M,107A-DE-820-40,YP04,1,2021-03-19,2021-04-28,None,,,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A110702011,2021-04-19,765.12,22.0,prod,1.0,1,2021-04-28,,,,True,17,2021,2021-W17,2021-W17
12,56328,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3746964,IS0015730M,107B-DE-820-40,YP04,1,2021-04-22,2021-05-18,None,,,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A210701995,2021-04-29,765.12,22.0,prod,0.0,1,2021-05-18,,,,True,20,2021,2021-W20,2021-W20
13,56329,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3746962,IS0028165M,107B-800VU-COA-40,YP04,1,2021-05-06,2021-05-18,None,,,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A210701995,2021-04-29,20.71,4.0,prod,0.0,2,2021-05-18,,,,True,20,2021,2021-W20,2021-W20
14,56330,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3737360,IS0028165M,107B-800VU-COA-40,YP04,1,2021-04-12,2021-05-25,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702004,2021-05-17,20.71,4.0,prod,0.0,2,2021-05-25,,,,True,21,2021,2021-W21,2021-W21
15,56331,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3729660,IS0015730M,107B-DE-820-40,YP04,1,2021-04-12,2021-05-25,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702004,2021-05-17,765.12,22.0,prod,0.0,1,2021-05-25,,,,True,21,2021,2021-W21,2021-W21
16,56332,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3737354,IS0015730M,107B-DE-820-40,YP04,1,2021-04-26,2021-06-08,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702006,2021-05-24,765.12,22.0,prod,0.0,1,2021-06-08,,,,True,23,2021,2021-W23,2021-W23
17,56333,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3737361,IS0028165M,107B-800VU-COA-40,YP04,1,2021-04-26,2021-06-08,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702006,2021-05-24,20.71,4.0,prod,0.0,2,2021-06-08,,,,True,23,2021,2021-W23,2021-W23
18,56334,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3766142,IS0028108M,107A-800VU-COA-40,YP04,1,2021-06-08,2021-06-15,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702007,2021-06-07,20.71,4.0,prod,0.0,2,2021-06-15,,,,True,24,2021,2021-W24,2021-W24
19,56335,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3740787,IS0015667M,107A-DE-820-40,YP04,1,2021-05-17,2021-06-24,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702007,2021-06-07,765.12,22.0,prod,1.0,1,2021-06-24,,,,True,25,2021,2021-W25,2021-W25
20,56336,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3766143,IS0028165M,107B-800VU-COA-40,YP04,1,2021-06-21,2021-06-25,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702000,2021-06-30,20.71,4.0,prod,0.0,2,2021-06-25,,,,True,25,2021,2021-W25,2021-W25
21,56337,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3757519,IS0015730M,107B-DE-820-40,YP04,1,2021-06-01,2021-07-08,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702000,2021-06-30,765.12,22.0,prod,0.0,1,2021-07-08,,,,True,27,2021,2021-W27,2021-W27
22,56338,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3772548,IS0028165M,107B-800VU-COA-40,YP04,1,2021-07-01,2021-07-08,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210701999,2021-07-14,20.71,4.0,prod,0.0,2,2021-07-08,,,,True,27,2021,2021-W27,2021-W27
